: 1_Inflectional_morphology - I01 [noun - plural_reg]
album albums
application applications
area areas
car cars
college colleges
council councils
customer customers
day days
death deaths
department departments
development developments
difference differences
director directors
event events
example examples
fact facts
friend friends
god gods
government governments
hour hours
idea ideas
language languages
law laws
member members
month months
night nights
office offices
period periods
player players
population populations
problem problems
product products
resource resources
river rivers
road roads
role roles
science sciences
solution solutions
song songs
street streets
student students
system systems
thing things
town towns
user users
version versions
village villages
website websites
week weeks
year years
: 1_Inflectional_morphology - I02 [noun - plural_irreg]
ability abilities
academy academies
activity activities
agency agencies
analysis analyses
army armies
authority authorities
basis bases
business businesses
category categories
century centuries
child children
city cities
community communities
country countries
county counties
datum data
duty duties
economy economies
energy energies
entry entries
facility facilities
family families
formula formulae
history histories
industry industries
library libraries
life lives
loss losses
majority majorities
memory memories
opportunity opportunities
policy policies
property properties
responsibility responsibilities
safety safeties
secretary secretaries
security securities
series series
society societies
species species
story stories
strategy strategies
success successes
technology technologies
theory theories
university universities
variety varieties
wife wives
woman women
: 1_Inflectional_morphology - I03 [adj - comparative]
angry angrier
cheap cheaper
clever cleverer
coarse coarser
costly costlier
cute cuter
dense denser
dumb dumber
fierce fiercer
handy handier
happy happier
hardy hardier
harsh harsher
healthy healthier
hot hotter
huge huger
hungry hungrier
lazy lazier
lengthy lengthier
lucky luckier
mad madder
merry merrier
mild milder
moist moister
nasty nastier
neat neater
nice nicer
noisy noisier
proud prouder
pure purer
risky riskier
rocky rockier
rude ruder
sad sadder
scary scarier
sexy sexier
sticky stickier
strict stricter
strong stronger
subtle subtler
sunny sunnier
tasty tastier
tiny tinier
tricky trickier
ugly uglier
vague vaguer
vast vaster
weak weaker
wealthy wealthier
weird weirder
: 1_Inflectional_morphology - I04 [adj - superlative]
able ablest
angry angriest
cheap cheapest
clever cleverest
costly costliest
cruel cruelest
cute cutest
dense densest
dumb dumbest
fierce fiercest
handy handiest
happy happiest
hardy hardiest
harsh harshest
healthy healthiest
hot hottest
huge hugest
hungry hungriest
lazy laziest
lengthy lengthiest
lucky luckiest
merry merriest
mild mildest
nasty nastiest
neat neatest
nice nicest
noisy noisiest
polite politest
proud proudest
pure purest
rare rarest
risky riskiest
rude rudest
sad saddest
scary scariest
sexy sexiest
shiny shiniest
strange strangest
strict strictest
strong strongest
subtle subtlest
sunny sunniest
tasty tastiest
tiny tiniest
tricky trickiest
ugly ugliest
vague vaguest
weak weakest
wealthy wealthiest
weird weirdest
: 1_Inflectional_morphology - I05 [verb_inf - 3pSg]
accept accepts
achieve achieves
add adds
agree agrees
allow allows
appear appears
apply applies
ask asks
avoid avoids
become becomes
believe believes
consider considers
consist consists
contain contains
continue continues
create creates
describe describes
develop develops
enable enables
enjoy enjoys
ensure ensures
exist exists
explain explains
follow follows
happen happens
hear hears
identify identifies
improve improves
include includes
involve involves
learn learns
maintain maintains
occur occurs
operate operates
prevent prevents
promote promotes
protect protects
provide provides
receive receives
reduce reduces
refer refers
remain remains
remember remembers
represent represents
require requires
seem seems
send sends
suggest suggests
tell tells
understand understands
: 1_Inflectional_morphology - I06 [verb_inf - Ving]
achieve achieving
add adding
allow allowing
appear appearing
apply applying
ask asking
attend attending
avoid avoiding
become becoming
believe believing
consider considering
contain containing
continue continuing
create creating
develop developing
encourage encouraging
enjoy enjoying
ensure ensuring
establish establishing
exist existing
expect expecting
follow following
happen happening
identify identifying
improve improving
include including
involve involving
learn learning
lose losing
maintain maintaining
manage managing
operate operating
perform performing
prevent preventing
promote promoting
protect protecting
provide providing
receive receiving
reduce reducing
refer referring
remain remaining
remember remembering
represent representing
require requiring
seem seeming
sit sitting
spend spending
teach teaching
tell telling
understand understanding
: 1_Inflectional_morphology - I07 [verb_inf - Ved]
accept accepted
achieve achieved
add added
agree agreed
allow allowed
announce announced
appear appeared
apply applied
ask asked
attend attended
become became
believe believed
consider considered
continue continued
create created
decide decided
describe described
develop developed
discover discovered
enjoy enjoyed
ensure ensured
establish established
expect expected
follow followed
hear heard
identify identified
improve improved
include included
introduce introduced
involve involved
locate located
lose lost
manage managed
marry married
perform performed
provide provided
publish published
receive received
reduce reduced
